plugin_cmf_mainmenu,"Customer Management Framework"
plugin_cmf_customerview,"Customers"
plugin_cmf_customerautomationrules,Customer automation rules
plugin_cmf_actiontriggerrule_triggerNewActivity,New Ccstomer activity
plugin_cmf_actiontriggerrule_actionAddSegment,Add segment
plugin_cmf_actiontriggerrule_actionDelay,Action delay
plugin_cmf_actiontriggerrule_conditionCountActivities,Activities count of type x
plugin_cmf_actiontriggerrule_countactivities_type,Activities count of type
plugin_cmf_actiontriggerrule_countactivities_must_be,must be
plugin_cmf_actiontriggerrule_not,not
plugin_cmf_actiontriggerrule_conditionSegment,Customer segment,
plugin_cmf_actiontriggerrule_changefieldvalue_field,Field
plugin_cmf_actiontriggerrule_changefieldvalue_value,Value
plugin_cmf_actiontriggerrule_actionChangeFieldValue,Change customer field value
